typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20230101","2023","1","202301","276","DEU","Germany","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12","false","8","kg","12","false","12","false","0","false","12.923",,"12.923","0","false","true",
"C","M","20230201","2023","2","202302","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8","false","8","kg","8","false","8","false","0","false","41.789",,"41.789","0","false","true",
"C","M","20230201","2023","2","202302","276","DEU","Germany","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1032","false","8","kg","1032","false","1032","false","0","false","1986.58",,"1986.58","0","false","true",
"C","M","20230201","2023","2","202302","528","NLD","Netherlands","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","8","kg","2","false","2","false","0","false","8.572",,"8.572","0","false","true",
"C","M","20230201","2023","2","202302","724","ESP","Spain","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6","false","8","kg","6","false","6","false","0","false","86.524",,"86.524","0","false","true",
"C","M","20230301","2023","3","202303","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","410","false","8","kg","410","false","410","false","0","false","346.869",,"346.869","0","false","true",
"C","M","20230301","2023","3","202303","276","DEU","Germany","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","623","false","8","kg","623","false","623","false","0","false","1264.358",,"1264.358","0","false","true",
"C","M","20230301","2023","3","202303","528","NLD","Netherlands","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3","false","8","kg","3","false","3","false","0","false","10.706",,"10.706","0","false","true",
"C","M","20230401","2023","4","202304","276","DEU","Germany","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9.483","true","-1","N/A","0","false","9.483","true","0","false","17.548",,"17.548","6","false","true",
"C","M","20230401","2023","4","202304","528","NLD","Netherlands","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","8","kg","2","false","2","false","0","false","7.677",,"7.677","0","false","true",
