typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20220101","2022","1","202201","276","DEU","Germany","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22","false","8","kg","22","false","22","false","0","false","14.709","0","14.709","0","false","true",
"C","M","20220101","2022","1","202201","512","OMN","Oman","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","467.532","true","-1","N/A","0","false","467.532","true","0","false","720.416",,"720.416","6","false","true",
"C","M","20220201","2022","2","202202","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","954","false","8","kg","954","false","954","false","0","false","1067.273",,"1067.273","0","false","true",
"C","M","20220201","2022","2","202202","276","DEU","Germany","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6","false","8","kg","6","false","6","false","0","false","9.074","0","9.074","0","false","true",
"C","M","20220201","2022","2","202202","380","ITA","Italy","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8178","false","8","kg","8178","false","8178","false","0","false","12598.583",,"12598.583","0","false","true",
"C","M","20220301","2022","3","202203","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3281","false","8","kg","3281","false","3281","false","0","false","7804.727",,"7804.727","0","false","true",
"C","M","20220301","2022","3","202203","276","DEU","Germany","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","333","false","8","kg","333","false","333","false","0","false","1785.071","0","1785.071","0","false","true",
"C","M","20220301","2022","3","202203","344","HKG","China, Hong Kong SAR","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15991","false","8","kg","15991","false","15991","false","0","false","58759.713","0","58759.713","0","false","true",
"C","M","20220301","2022","3","202203","528","NLD","Netherlands","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false","0","false","4.408","0","4.408","0","false","true",
"C","M","20220301","2022","3","202203","724","ESP","Spain","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3","false","8","kg","3","false","3","false","0","false","181.273",,"181.273","0","false","true",
"C","M","20220401","2022","4","202204","276","DEU","Germany","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","896","false","8","kg","896","false","896","false","0","false","1864.068","0","1864.068","0","false","true",
"C","M","20220401","2022","4","202204","528","NLD","Netherlands","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false","0","false","1.082","0","1.082","0","false","true",
"C","M","20220501","2022","5","202205","233","EST","Estonia","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17.564","false","8","kg","17.564","false","17.564","false","0","false","330.56",,"330.56","0","false","true",
"C","M","20220501","2022","5","202205","276","DEU","Germany","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22","false","8","kg","22","false","22","false","0","false","35.967","0","35.967","0","false","true",
"C","M","20220501","2022","5","202205","380","ITA","Italy","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9429","false","8","kg","9429","false","9429","false","0","false","8281.908",,"8281.908","0","false","true",
